"Date","WastewaterSevenDayAverageMgc"
20200528,0.18
20200529,0.24
20200601,0.23
20200602,0.23
20200603,0.21
20200604,0.2
20200606,0.2
20200608,0.17
20200609,0.06
20200610,0.17
20200615,0.23
20200616,0.69
20200617,0.1
20200619,0.1
20200622,0.21
20200623,0.1
20200624,0.07
20200628,0.12
20200630,0.02
20200701,0.02
20200703,0.02
20200706,0
20200707,0
20200708,0
20200710,0
20200807,0.17
20200808,0.14
20200809,0.13
20200810,2.66
20200811,2.2
20200812,2.97
20200813,2.79
20200814,2.87
20200817,1.26
20200818,1.06
20200819,1.07
20200820,1.18
20200821,1.08
20200822,1.05
20200824,1
20200825,1.98
20200826,2.45
20200828,2.46
20200831,2.68
20200901,2.42
20200902,2.16
20200903,2.16
20200904,2.45
20200906,2.45
20200907,3.13
20200908,3.81
20200909,4.23
20200910,4.19
20200911,4.2
20200914,4.12
20200915,2.75
20200916,2.34
20200917,2.35
20200918,2.32
20200920,2.42
20200921,4.67
20200922,6
20200923,7.4
20200924,7.55
20200925,7.65
20200928,8.19
20200929,11.44
20200930,12.21
20201001,13.11
20201002,14.19
20201005,15.32
20201006,23.41
20201007,23.96
20201009,23.93
20201012,24.93
20201013,18.21
20201014,18.96
20201015,19.23
20201016,20.82
20201019,20.1
20201020,27.07
20201021,26.74
20201022,26.61
20201023,26
20201026,27.62
20201027,22.24
20201028,19.99
20201029,20.44
20201030,21.4
20201031,21.9
20201102,20.9
20201103,24.5
20201104,25.62
20201106,23.32
20201109,19.76
20201110,20.39
20201111,18.7
20201112,19.91
20201113,22.56
20201116,18.56
20201117,21.32
20201118,20.34
20201119,16.77
20201120,16.62
20201123,20.1
20201124,18.24
20201125,20.03
20201126,20.96
20201127,20.94
20201130,26.51
20201201,28.73
20201202,29.87
20201203,30.57
20201204,29.63
20201206,27.62
20201207,24.3
20201208,22.55
20201209,21.99
20201210,19.01
20201211,18.26
20201214,20.05
20201215,20.42
20201216,19.42
20201217,21.68
20201218,21.29
20201221,22.43
20201229,66.18
20201230,65.66
20201231,68.23
20210104,70.44
20210105,57.49
20210106,57.47
20210107,59.31
20210108,60.13
20210111,52.86
20210112,59.38
20210113,68.99
20210114,68.06
20210115,66.05
20210117,65.84
20210118,60.84
20210119,54.6
20210120,40.6
20210121,37.14
20210122,36.05
20210123,36.17
20210125,32.16
20210126,30.6
20210127,34.38
20210129,34.79
20210201,37.42
20210202,35.32
20210203,40.53
20210204,39.76
20210205,36.88
20210206,36.88
20210208,36.37
20210209,33.14
20210210,27.06
20210211,26.54
20210212,27.97
20210215,28.41
20210216,31.63
20210217,31.92
20210218,34.31
20210219,32.21
20210221,32.09
20210222,22.99
20210223,24.23
20210224,24.62
20210225,21.72
20210226,20.15
20210227,19.79
20210228,19.75
20210301,18.91
20210302,14.68
20210303,14.34
20210304,14.45
20210305,14.32
20210306,14.35
20210307,14.33
20210308,13.8
20210309,14.17
20210310,15.46
20210311,14.42
20210312,14.59
20210315,13.82
20210316,13.71
20210317,12.69
20210318,12.58
20210319,12.37
20210322,12.61
20210323,11.58
20210324,11.27
20210325,10.79
20210326,10.39
20210329,10.79
20210330,10.2
20210331,8.84
20210401,8.4
20210402,8.02
20210405,7.3
20210406,7
20210407,6.96
20210408,6.82
20210409,6.55
20210410,6.54
20210412,6.63
20210413,5.99
20210414,6.01
20210415,6.16
20210416,6.02
20210419,5.15
20210421,8.34
20210422,1.88
20210423,2.21
20210426,1.97
20210427,2.61
20210428,2.82
20210429,3.22
20210430,3.34
20210503,3.68
20210504,3.68
20210505,4.11
20210506,3.15
20210507,3.41
20210510,3.71
20210511,5.14
20210512,6.38
20210513,7.71
20210514,9.44
20210517,9.22
20210518,9.62
20210519,8.39
20210520,7.19
20210521,7.61
20210523,7.61
20210524,8.63
20210525,9.54
20210526,9.61
20210527,9.04
20210528,8.63
20210531,9.79
20210601,9.59
20210602,10.43
20210603,11.78
20210604,13.2
20210607,14.62
20210608,15.09
20210609,14.66
20210610,13.8
20210611,15.21
20210614,14.85
20210615,15.43
20210616,15.49
20210617,15.2
20210618,14.85
20210619,14.88
20210621,17.67
20210622,19.95
20210623,23.16
20210624,25.68
20210625,29.05
20210628,44.17
20210629,48
20210630,48.39
20210701,55.63
20210702,70.87
20210705,98.54
20210706,101.44
20210707,94.93
20210708,100.44
20210709,91.34
20210710,91.27
20210712,77.65
20210713,78.72
20210716,75.43
20210719,58.98
20210720,51.71
20210721,52.72
20210722,52.48
20210723,49.36
20210726,45.59
20210727,44.5
20210728,41.57
20210729,41.53
20210730,43.71
20210802,40.25
20210803,39.92
