station_no,timestamp,value
15018,06/09/2023 09:00:00,0
15018,07/09/2023 09:00:00,0
15018,08/09/2023 09:00:00,0
15018,09/09/2023 09:00:00,0
15018,10/09/2023 09:00:00,2.2
15018,11/09/2023 09:00:00,0
15018,12/09/2023 09:00:00,0
15018,13/09/2023 09:00:00,2.6
15018,14/09/2023 09:00:00,1.4
15018,15/09/2023 09:00:00,22.2
15018,16/09/2023 09:00:00,0.4
15018,17/09/2023 09:00:00,0.8
15018,18/09/2023 09:00:00,3.2
15018,19/09/2023 09:00:00,2.8
15018,20/09/2023 09:00:00,0.2
15018,21/09/2023 09:00:00,0
15018,22/09/2023 09:00:00,3
15018,23/09/2023 09:00:00,0.8
15018,24/09/2023 09:00:00,3
15018,25/09/2023 09:00:00,1.2
15018,26/09/2023 09:00:00,1
15018,27/09/2023 09:00:00,11.4
15018,28/09/2023 09:00:00,1.4
15018,29/09/2023 09:00:00,0
15018,30/09/2023 09:00:00,0.6
15018,01/10/2023 09:00:00,0
15018,02/10/2023 09:00:00,0
15018,03/10/2023 09:00:00,0
15018,04/10/2023 09:00:00,1.6
15018,05/10/2023 09:00:00,1
15018,06/10/2023 09:00:00,34.4
15018,07/10/2023 09:00:00,23.2
15018,08/10/2023 09:00:00,1.2
15018,09/10/2023 09:00:00,0
15018,10/10/2023 09:00:00,0.4
15018,11/10/2023 09:00:00,0
15018,12/10/2023 09:00:00,0
15018,13/10/2023 09:00:00,0
15018,14/10/2023 09:00:00,0
15018,15/10/2023 09:00:00,0
15018,16/10/2023 09:00:00,0
15018,17/10/2023 09:00:00,0
15018,18/10/2023 09:00:00,17.2
15018,19/10/2023 09:00:00,40.4
15018,20/10/2023 09:00:00,24.2
15018,21/10/2023 09:00:00,2.2
15018,22/10/2023 09:00:00,0
15018,23/10/2023 09:00:00,0.2
15018,24/10/2023 09:00:00,4
15018,25/10/2023 09:00:00,4.6
15018,26/10/2023 09:00:00,21.6
15018,27/10/2023 09:00:00,7.2
15018,28/10/2023 09:00:00,9.4
15018,29/10/2023 09:00:00,8
15018,30/10/2023 09:00:00,0.8
15018,31/10/2023 09:00:00,9.6
15018,01/11/2023 09:00:00,9.8
15018,02/11/2023 09:00:00,22
15018,03/11/2023 09:00:00,1.2
15018,04/11/2023 09:00:00,3.8
15018,05/11/2023 09:00:00,0.2
15018,06/11/2023 09:00:00,0.4
15018,07/11/2023 09:00:00,1
15018,08/11/2023 09:00:00,1.4
15018,09/11/2023 09:00:00,0.8
15018,10/11/2023 09:00:00,0.6
15018,11/11/2023 09:00:00,0.4
15018,12/11/2023 09:00:00,12.8
15018,13/11/2023 09:00:00,11
15018,14/11/2023 09:00:00,17.6
15018,15/11/2023 09:00:00,1.6
15018,16/11/2023 09:00:00,0.2
15018,17/11/2023 09:00:00,2.6
